file,component,Minimal time,Solve time,CPU Time
c5315-55.txt.txt,37,0.004504,0.010667,0.031621
c5315-17.txt.txt,89,0.012751,0.020131,0.043145
c5315-0.txt.txt,46,0.007702,0.017292,0.037433
c5315-89.txt.txt,56,0.009191,0.014892,0.03721
c5315-75.txt.txt,71,0.014589,0.020957,0.041712
c5315-79.txt.txt,53,0.003451,0.008969,0.031999
c5315-58.txt.txt,63,0.014725,0.020343,0.041619
c5315-96.txt.txt,61,0.005022,0.009704,0.031031
c5315-20.txt.txt,37,0.004768,0.011511,0.034159
c5315-72.txt.txt,78,0.008421,0.018048,0.044524
c5315-9.txt.txt,70,0.006268,0.012099,0.035927
c5315-11.txt.txt,62,0.014067,0.021037,0.043518
c5315-25.txt.txt,86,0.026135,0.031430,0.050971
c5315-38.txt.txt,66,0.027085,0.032959,0.054771
c5315-77.txt.txt,77,0.009965,0.019431,0.039996
c5315-19.txt.txt,66,0.007626,0.012538,0.034645
c5315-61.txt.txt,51,0.038521,0.048379,0.07109
c5315-66.txt.txt,80,0.041251,0.048593,0.074708
c5315-78.txt.txt,69,0.013114,0.019754,0.041426
c5315-3.txt.txt,72,0.021870,0.027857,0.051618
c5315-48.txt.txt,79,0.014464,0.019871,0.039862
c5315-64.txt.txt,69,0.017794,0.026223,0.06192
c5315-33.txt.txt,66,0.016316,0.023448,0.048313
c5315-41.txt.txt,59,0.011645,0.019372,0.049801
c5315-10.txt.txt,57,0.021799,0.026672,0.048361
c5315-68.txt.txt,63,0.011474,0.019476,0.041214
c5315-54.txt.txt,71,0.029172,0.035757,0.05666
c5315-46.txt.txt,64,0.014908,0.021482,0.040139
c5315-31.txt.txt,58,0.005399,0.014324,0.038355
c5315-35.txt.txt,65,0.022206,0.029219,0.050453
c5315-5.txt.txt,81,0.010791,0.016382,0.037113
c5315-28.txt.txt,79,0.008204,0.014236,0.044886
c5315-97.txt.txt,62,0.023148,0.032718,0.061713
c5315-86.txt.txt,74,0.024817,0.032864,0.051373
c5315-50.txt.txt,72,0.011441,0.019195,0.039881
c5315-83.txt.txt,67,0.011366,0.017924,0.038719
c5315-44.txt.txt,64,0.025356,0.031410,0.052813
c5315-91.txt.txt,48,0.011724,0.018827,0.038575
c5315-45.txt.txt,56,0.022275,0.031958,0.065728
c5315-81.txt.txt,82,0.014750,0.021553,0.041112
c5315-88.txt.txt,75,0.033241,0.041292,0.060581
c5315-76.txt.txt,75,0.009423,0.015766,0.040903
c5315-57.txt.txt,75,0.005948,0.012711,0.036313
c5315-30.txt.txt,48,0.063615,0.072244,0.093581
c5315-34.txt.txt,79,0.017084,0.023940,0.04425
c5315-22.txt.txt,59,0.019705,0.025436,0.054562
c5315-84.txt.txt,42,0.004488,0.010299,0.030718
c5315-24.txt.txt,54,0.016744,0.024002,0.044996
c5315-71.txt.txt,81,0.018413,0.024999,0.045563
c5315-1.txt.txt,74,0.037786,0.046054,0.067652
c5315-59.txt.txt,47,0.003791,0.009573,0.030316
c5315-18.txt.txt,76,0.016160,0.023270,0.045279
c5315-4.txt.txt,60,0.016404,0.021878,0.048313
c5315-69.txt.txt,59,0.008776,0.016137,0.03785
c5315-74.txt.txt,63,0.038988,0.046194,0.067469
c5315-63.txt.txt,61,0.004540,0.010941,0.030385
c5315-93.txt.txt,74,0.023980,0.034710,0.060862
c5315-60.txt.txt,63,0.005809,0.012209,0.032643
c5315-53.txt.txt,73,0.028068,0.038426,0.06514
c5315-56.txt.txt,84,0.011600,0.017123,0.038581
c5315-36.txt.txt,68,0.033125,0.043533,0.064187
c5315-16.txt.txt,66,0.007276,0.012808,0.033186
c5315-37.txt.txt,62,0.037412,0.044730,0.065864
c5315-13.txt.txt,68,0.016405,0.027498,0.047694
c5315-6.txt.txt,67,0.012627,0.016810,0.037784
c5315-99.txt.txt,65,0.027005,0.032418,0.055706
c5315-12.txt.txt,62,0.006064,0.011156,0.031256
c5315-52.txt.txt,73,0.038312,0.049543,0.070346
c5315-87.txt.txt,76,0.015026,0.021739,0.041937
c5315-80.txt.txt,56,0.036089,0.043201,0.071475
c5315-70.txt.txt,61,0.004256,0.009715,0.030136
c5315-42.txt.txt,69,0.007917,0.013947,0.035225
c5315-26.txt.txt,74,0.004039,0.009358,0.031275
c5315-94.txt.txt,71,0.010369,0.016266,0.036548
c5315-98.txt.txt,71,0.019549,0.027166,0.051216
c5315-39.txt.txt,61,0.011271,0.015821,0.037133
c5315-49.txt.txt,55,0.013637,0.021803,0.042719
c5315-40.txt.txt,83,0.050801,0.058564,0.078277
c5315-95.txt.txt,65,0.004601,0.011723,0.031883
c5315-92.txt.txt,58,0.005072,0.010512,0.034272
c5315-82.txt.txt,59,0.030949,0.036824,0.063663
c5315-29.txt.txt,48,0.003537,0.008268,0.028601
c5315-85.txt.txt,70,0.007371,0.012758,0.0343
c5315-90.txt.txt,59,0.003125,0.007789,0.027812
c5315-2.txt.txt,48,0.049361,0.060328,0.081976
c5315-27.txt.txt,44,0.013035,0.024360,0.058061
c5315-73.txt.txt,52,0.010585,0.017853,0.037913
c5315-62.txt.txt,60,0.005830,0.010197,0.031427
c5315-8.txt.txt,81,0.015218,0.029072,0.054497
c5315-65.txt.txt,49,0.020625,0.028145,0.051041
c5315-21.txt.txt,68,0.024468,0.033844,0.069836
c5315-23.txt.txt,83,0.022115,0.030670,0.062183
c5315-43.txt.txt,57,0.073239,0.079118,0.108949
c5315-7.txt.txt,67,0.003538,0.009062,0.031725
c5315-15.txt.txt,70,0.015952,0.023655,0.042856
c5315-14.txt.txt,53,0.002649,0.006846,0.029057
c5315-67.txt.txt,68,0.023846,0.030537,0.053998
c5315-47.txt.txt,74,0.015025,0.020084,0.041047
c5315-51.txt.txt,70,0.023078,0.029785,0.050764
c5315-32.txt.txt,79,0.015122,0.023883,0.04427
